number, player_name, position, mug_url, year
1,Tyjon Lindsey,WR,https://f5s002media.blob.core.windows.net/photos/0030154-tqms-270x270.jpg,Freshman
2,Tony Butler,DB,https://f5s002media.blob.core.windows.net/photos/0026483-glsh-270x270.jpg,Freshman (RS)
2,Zack Darlington,WR,https://f5s002media.blob.core.windows.net/photos/0026475-qqxp-270x270.jpg,Junior
3,Marcus Newby,LB,https://f5s002media.blob.core.windows.net/photos/0026869-tjqq-270x270.jpg,Senior
4,Avery Anderson,S,https://f5s002media.blob.core.windows.net/photos/0026498-tadu-270x270.jpg,Sophomore
4,Jaevon McQuitty,WR,https://f5s002media.blob.core.windows.net/photos/0030168-iwzi-270x270.jpg,Freshman
5,Jaylin Bradley,RB,https://f5s002media.blob.core.windows.net/photos/0030148-ohqs-270x270.jpg,Freshman
5,Dedrick Young II,LB,https://f5s002media.blob.core.windows.net/photos/0026503-nakt-270x270.jpg,Junior
6,Eric Lee Jr.,CB,https://f5s002media.blob.core.windows.net/photos/0026559-wvzs-270x270.jpg,Sophomore
7,Mohamed Barry,LB,https://f5s002media.blob.core.windows.net/photos/0026491-vnto-270x270.jpg,Sophomore
8,Chris Jones,CB,https://f5s002media.blob.core.windows.net/photos/0026572-tbth-270x270.jpg,Senior
8,Stanley Morgan Jr.,WR,https://f5s002media.blob.core.windows.net/photos/0026548-otgk-270x270.jpg,Junior
9,DaiShon Neal,DE,https://f5s002media.blob.core.windows.net/photos/0026545-slam-270x270.jpg,Sophomore
9,Keyan Williams,WR,https://f5s002media.blob.core.windows.net/photos/0026507-vuwx-270x270.jpg,Junior
10,JD Spielman,WR,https://f5s002media.blob.core.windows.net/photos/0026523-ptcl-270x270.jpg,Freshman (RS)
11,Austin Allen,TE,https://f5s002media.blob.core.windows.net/photos/0030146-ibov-270x270.jpg,Freshman
11,Boaz Joseph,CB,https://f5s002media.blob.core.windows.net/photos/0026568-zgmn-270x270.jpg,Senior
12,Luke Gifford,LB,https://f5s002media.blob.core.windows.net/photos/0026455-otlx-270x270.jpg,Junior
12,Patrick O'Brien,QB,https://f5s002media.blob.core.windows.net/photos/0026541-xfww-270x270.jpg,Freshman (RS)
13,JoJo Domann,DB,https://f5s002media.blob.core.windows.net/photos/0026469-wtft-270x270.jpg,Sophomore
13,Tanner Lee,QB,https://f5s002media.blob.core.windows.net/photos/0026560-qiiv-270x270.jpg,Junior
14,Tristan Gebbia,QB,https://f5s002media.blob.core.windows.net/photos/0030169-mnbw-270x270.jpg,Freshman
15,De'Mornay Pierson-El,WR,https://f5s002media.blob.core.windows.net/photos/0026535-ehot-270x270.jpg,Senior
15,Avery Roberts,LB,https://f5s002media.blob.core.windows.net/photos/0030170-jczo-270x270.jpg,Freshman
16,Andrew Bunch,QB,https://f5s002media.blob.core.windows.net/photos/0030171-lhbx-270x270.jpg,Sophomore
16,Ethan Cox,,https://f5s002media.blob.core.windows.net/photos/0030149-iwbh-270x270.jpg,Freshman
17,Sedrick King,DE,https://f5s002media.blob.core.windows.net/photos/0026563-mabr-270x270.jpg,Junior
18,Tre Bryant,IB,https://f5s002media.blob.core.windows.net/photos/0026484-fvhs-270x270.jpg,Sophomore
18,Guy Thomas,DE,https://f5s002media.blob.core.windows.net/photos/0030163-xwft-270x270.jpg,Freshman
19,Marquel Dismuke,DB,https://f5s002media.blob.core.windows.net/photos/0026470-zcqk-270x270.jpg,Freshman (RS)
21,Lamar Jackson,DB,https://f5s002media.blob.core.windows.net/photos/0026578-hytd-270x270.jpg,Sophomore
21,Mikale Wilbon,IB,https://f5s002media.blob.core.windows.net/photos/0026509-ykgg-270x270.jpg,Junior
22,Alex Davis,DE,https://f5s002media.blob.core.windows.net/photos/0026474-chze-270x270.jpg,Sophomore (RS)
22,Devine Ozigbo,IB,https://f5s002media.blob.core.windows.net/photos/0026538-tlqe-270x270.jpg,Junior
23,Dicaprio Bootle,DB,https://f5s002media.blob.core.windows.net/photos/0026489-bebh-270x270.jpg,Freshman (RS)
23,Austin Rose,IB,https://f5s002media.blob.core.windows.net/photos/0026528-tavl-270x270.jpg,Junior
24,Sean Lambert,IB,https://f5s002media.blob.core.windows.net/photos/0026870-fron-270x270.jpg,Freshman (RS)
24,Aaron Williams,S,https://f5s002media.blob.core.windows.net/photos/0026508-uyhk-270x270.jpg,Junior
25,Antonio Reed,S,https://f5s002media.blob.core.windows.net/photos/0026531-gdja-270x270.jpg,Junior
26,Thomas Connely,LB,https://f5s002media.blob.core.windows.net/photos/0026478-jzzj-270x270.jpg,Junior
26,Kieron Williams,S,https://f5s002media.blob.core.windows.net/photos/0026506-sbad-270x270.jpg,Senior
28,Eli Sullivan,DB,https://f5s002media.blob.core.windows.net/photos/0026518-bdrp-270x270.jpg,Freshman (RS)
28,Adam Taylor,IB,https://f5s002media.blob.core.windows.net/photos/0026516-yziu-270x270.jpg,Senior
29,Ben Miles,FB,https://f5s002media.blob.core.windows.net/photos/0030157-mkrw-270x270.jpg,Freshman
30,Quayshon Alexander,LB,https://f5s002media.blob.core.windows.net/photos/0026500-zjgx-270x270.jpg,Freshman (RS)
30,Bo Kitrell,FB,https://f5s002media.blob.core.windows.net/photos/0026562-nbwb-270x270.jpg,Junior
31,Kade Warner,WR,https://f5s002media.blob.core.windows.net/photos/0030167-abww-270x270.jpg,Freshman
32,Tanner Hass,RB,https://f5s002media.blob.core.windows.net/photos/0026450-tymj-270x270.jpg,Freshman (RS)
32,Pernell Jefferson,LB,https://f5s002media.blob.core.windows.net/photos/0026576-ibgh-270x270.jpg,Freshman (RS)
33,Willie Hampton,LB,https://f5s002media.blob.core.windows.net/photos/0030151-kpqg-270x270.jpg,Freshman
33,Dylan Reynolds,WR,https://f5s002media.blob.core.windows.net/photos/0030161-xvco-270x270.jpg,Freshman
34,Drew Brown,PK,https://f5s002media.blob.core.windows.net/photos/0026486-mqre-270x270.jpg,Senior
35,Caleb Lightbourn,P/PK,https://f5s002media.blob.core.windows.net/photos/0026558-xuij-270x270.jpg,Sophomore
35,Jeremiah Stovall,DB,https://f5s002media.blob.core.windows.net/photos/0026519-wxfi-270x270.jpg,Sophomore
36,Christian Banker,WR,https://f5s002media.blob.core.windows.net/photos/0030147-oyro-270x270.jpg,Freshman
36,Spencer Jordan,FB,https://f5s002media.blob.core.windows.net/photos/0026569-uxiq-270x270.jpg,Freshman (RS)
36,Reid Karel,DB,https://f5s002media.blob.core.windows.net/photos/0026566-kond-270x270.jpg,Sophomore
37,Wyatt Mazour,IB,https://f5s002media.blob.core.windows.net/photos/0026554-tkom-270x270.jpg,Sophomore
37,Collin Miller,DE,https://f5s002media.blob.core.windows.net/photos/0026550-asjf-270x270.jpg,Freshman (RS)
38,Damian  Jackson,LB,https://f5s002media.blob.core.windows.net/photos/0030172-duuj-270x270.jpg,Freshman
38,Harrison Jordan,FB,https://f5s002media.blob.core.windows.net/photos/0026570-ojbo-270x270.jpg,Senior
39,Cole Frahm,PK,https://f5s.blob.core.windows.net/web/themes/images/mugshot-empty.png,Freshman
40,Grant Jordan,LB,https://f5s002media.blob.core.windows.net/photos/0026571-frwn-270x270.jpg,Freshman (RS)
40,Brandon Robbins,WR,https://f5s002media.blob.core.windows.net/photos/0030176-htft-270x270.jpg,Freshman
41,Jose Marquez,DB,https://f5s002media.blob.core.windows.net/photos/0030173-ggjv-270x270.jpg,Freshman
41,Luke McNitt,FB,https://f5s002media.blob.core.windows.net/photos/0026551-ggrj-270x270.jpg,Senior
42,Cody Liske,LB,https://f5s002media.blob.core.windows.net/photos/0030156-powy-270x270.jpg,Freshman
43,Tyrin Ferguson,LB,https://f5s002media.blob.core.windows.net/photos/0026463-ogdf-270x270.jpg,Sophomore (RS)
43,Todd Honas,WR,https://f5s002media.blob.core.windows.net/photos/0026447-pxpy-270x270.jpg,Freshman (RS)
44,Mick Stoltenberg,DL,https://f5s002media.blob.core.windows.net/photos/0026520-klau-270x270.jpg,Junior
45,Ty Chaffin,WR,https://f5s002media.blob.core.windows.net/photos/0026481-fjso-270x270.jpg,Freshman (RS)
45,A.J. Natter,DE,https://f5s002media.blob.core.windows.net/photos/0026546-uucr-270x270.jpg,Senior
46,Joshua Kalu,CB,https://f5s002media.blob.core.windows.net/photos/0026567-eqko-270x270.jpg,Senior
47,Branden Hohenstein,TE,https://f5s002media.blob.core.windows.net/photos/0026448-ueod-270x270.jpg,Freshman (RS)
47,Matt Jarzynka,DE,https://f5s002media.blob.core.windows.net/photos/0026577-vlyn-270x270.jpg,Junior
48,Erik Evans,DE,https://f5s002media.blob.core.windows.net/photos/0026466-nomg-270x270.jpg,Senior
49,Austin Hemphill,FB,https://f5s002media.blob.core.windows.net/photos/0026449-aeap-270x270.jpg,Sophomore
49,Chris Weber,LB,https://f5s002media.blob.core.windows.net/photos/0026513-aqmi-270x270.jpg,Senior
50,John Raridon,OL,https://f5s002media.blob.core.windows.net/photos/0026533-lnka-270x270.jpg,Freshman (RS)
50,Ben Stille,DE,https://f5s002media.blob.core.windows.net/photos/0026522-ystd-270x270.jpg,Freshman (RS)
51,Matt Watts,OL,https://f5s002media.blob.core.windows.net/photos/0030174-sewe-270x270.jpg,Senior
52,Andrew Ward,LB,https://f5s002media.blob.core.windows.net/photos/0030166-rlwh-270x270.jpg,Freshman
54,Jordan Ober,LS,https://f5s002media.blob.core.windows.net/photos/0026540-ahln-270x270.jpg,Junior
55,Jordan Paup,DL,https://f5s002media.blob.core.windows.net/photos/0030159-lwcp-270x270.jpg,Freshman
55,Chris Walker,OL,https://f5s002media.blob.core.windows.net/photos/0030165-zdro-270x270.jpg,Freshman
56,Boe Wilson,OL,https://f5s002media.blob.core.windows.net/photos/0026505-lpzi-270x270.jpg,Freshman (RS)
57,Jacob Weinmaster,LB,https://f5s002media.blob.core.windows.net/photos/0026512-ydgv-270x270.jpg,Sophomore
58,Joel Lopez,DL,https://f5s002media.blob.core.windows.net/photos/0026556-uqii-270x270.jpg,Senior
59,Jake Kitten,OL,https://f5s002media.blob.core.windows.net/photos/0026871-xjct-270x270.jpg,Freshman (RS)
61,Bryan Brokop,OL,https://f5s002media.blob.core.windows.net/photos/0026487-ggyq-270x270.jpg,Freshman (RS)
62,Cole Conrad,OL,https://f5s002media.blob.core.windows.net/photos/0026477-tbye-270x270.jpg,Junior
63,Tanner Farmer,OL,https://f5s002media.blob.core.windows.net/photos/0026465-czph-270x270.jpg,Junior
65,Christian Gaylord,OL,https://f5s002media.blob.core.windows.net/photos/0026457-jdbg-270x270.jpg,Sophomore
66,Hunter Miller,OL,https://f5s002media.blob.core.windows.net/photos/0030158-dvzo-270x270.jpg,Freshman
67,Jerald Foster,OL,https://f5s002media.blob.core.windows.net/photos/0026461-dzsy-270x270.jpg,Junior
68,Nick Gates,OL,https://f5s002media.blob.core.windows.net/photos/0026458-oxgf-270x270.jpg,Junior
70,Matt Sichterman,OL,https://f5s002media.blob.core.windows.net/photos/0030162-ssff-270x270.jpg,Freshman
71,Matt Farniok,OL,https://f5s002media.blob.core.windows.net/photos/0026464-jajk-270x270.jpg,Freshman (RS)
73,Broc Bando,OL,https://f5s002media.blob.core.windows.net/photos/0030175-eaqm-270x270.jpg,Freshman
74,Jalin Barnett,OL,https://f5s002media.blob.core.windows.net/photos/0026492-ztbf-270x270.jpg,Sophomore
75,Fyn Anderson,DL,https://f5s002media.blob.core.windows.net/photos/0026497-ozrq-270x270.jpg,Sophomore
75,Trent Hixson,OL,https://f5s002media.blob.core.windows.net/photos/0030152-zdlc-270x270.jpg,Freshman
76,Brenden Jaimes,OL,https://f5s002media.blob.core.windows.net/photos/0030153-swnx-270x270.jpg,Freshman
76,Dylan Owen,DL,https://f5s002media.blob.core.windows.net/photos/0026539-oifo-270x270.jpg,Junior
77,David Knevel,OL,https://f5s002media.blob.core.windows.net/photos/0026561-wnbs-270x270.jpg,Senior
79,Michael Decker,OL,https://f5s002media.blob.core.windows.net/photos/0026471-zvmm-270x270.jpg,Sophomore
80,Brett Classen,WR,https://f5s002media.blob.core.windows.net/photos/0026480-bgql-270x270.jpg,Senior
81,Gabe Rahn,WR,https://f5s002media.blob.core.windows.net/photos/0026534-rhgw-270x270.jpg,Senior
82,Kurt Rafdal,TE,https://f5s002media.blob.core.windows.net/photos/0030160-eybb-270x270.jpg,Freshman
83,David Engelhaupt,TE,https://f5s002media.blob.core.windows.net/photos/0026467-efms-270x270.jpg,Freshman (RS)
83,Bryan Reimers,WR,https://f5s002media.blob.core.windows.net/photos/0026529-vnef-270x270.jpg,Junior
85,Matt Snyder,TE,https://f5s002media.blob.core.windows.net/photos/0026524-kfnu-270x270.jpg,Sophomore
86,Jack Stoll,TE,https://f5s002media.blob.core.windows.net/photos/0026521-mfyn-270x270.jpg,Freshman (RS)
87,Conor Young,WR,https://f5s002media.blob.core.windows.net/photos/0026504-bchv-270x270.jpg,Sophomore (RS)
88,Tyler Hoppes,TE,https://f5s002media.blob.core.windows.net/photos/0026446-fepb-270x270.jpg,Senior
89,Connor Ketter,TE,https://f5s002media.blob.core.windows.net/photos/0026564-xbnp-270x270.jpg,Senior
90,Ben Lingenfelter,DL,https://f5s002media.blob.core.windows.net/photos/0030155-vgjo-270x270.jpg,Freshman
90,Jackson Walker,P,https://f5s002media.blob.core.windows.net/photos/0030177-adyl-270x270.jpg,Junior
91,Freedom Akinmoladun,DE,https://f5s002media.blob.core.windows.net/photos/0026501-nays-270x270.jpg,Junior
92,Chase Urbach,LS,https://f5s002media.blob.core.windows.net/photos/0026515-nipl-270x270.jpg,Sophomore
93,Damion Daniels,DT,https://f5s002media.blob.core.windows.net/photos/0030150-ntkq-270x270.jpg,Freshman
94,Khalil Davis,DT,https://f5s002media.blob.core.windows.net/photos/0026472-fihc-270x270.jpg,Sophomore
95,Kramer Rath,PK,https://f5s.blob.core.windows.net/web/themes/images/mugshot-empty.png,Senior
96,Carlos Davis,DT,https://f5s002media.blob.core.windows.net/photos/0026473-kcbj-270x270.jpg,Sophomore
97,Deontre Thomas,DT,https://f5s002media.blob.core.windows.net/photos/0030164-cdiw-270x270.jpg,Freshman
98,Isaac Armstrong,P,https://f5s002media.blob.core.windows.net/photos/0026496-fxqj-270x270.jpg,Sophomore
99,Peyton Newell,DT,https://f5s002media.blob.core.windows.net/photos/0026542-mlrz-270x270.jpg,Junior
